Date,District_Name,Neighborhood_Name,Sensus_Area,Population
2015-01-01,Ciutat Vella,el Raval,1001,1321
2015-01-01,Ciutat Vella,el Raval,1002,1528
2015-01-01,Ciutat Vella,el Raval,1003,3340
2015-01-01,Ciutat Vella,el Raval,1004,2785
2015-01-01,Ciutat Vella,el Raval,1005,2460
2015-01-01,Ciutat Vella,el Raval,1006,1560
2015-01-01,Ciutat Vella,el Raval,1007,2044
2015-01-01,Ciutat Vella,el Raval,1008,3414
2015-01-01,Ciutat Vella,el Raval,1009,2175
2015-01-01,Ciutat Vella,el Raval,1010,2359
2015-01-01,Ciutat Vella,el Raval,1011,3378
2015-01-01,Ciutat Vella,el Raval,1012,1883
2015-01-01,Ciutat Vella,el Raval,1013,1356
2015-01-01,Ciutat Vella,el Raval,1014,1986
2015-01-01,Ciutat Vella,el Raval,1015,2303
2015-01-01,Ciutat Vella,el Raval,1016,2173
2015-01-01,Ciutat Vella,el Raval,1017,2677
2015-01-01,Ciutat Vella,el Raval,1018,1562
2015-01-01,Ciutat Vella,el Raval,1019,2785
2015-01-01,Ciutat Vella,el Raval,1020,2069
2015-01-01,Ciutat Vella,el Raval,1021,1992
2015-01-01,Ciutat Vella,el Barri Gòtic,1022,1184
2015-01-01,Ciutat Vella,el Barri Gòtic,1023,1949
2015-01-01,Ciutat Vella,el Barri Gòtic,1025,1282
2015-01-01,Ciutat Vella,el Barri Gòtic,1026,2124
2015-01-01,Ciutat Vella,el Barri Gòtic,1027,1623
2015-01-01,Ciutat Vella,el Barri Gòtic,1028,1938
2015-01-01,Ciutat Vella,el Barri Gòtic,1029,1365
2015-01-01,Ciutat Vella,el Barri Gòtic,1030,2402
2015-01-01,Ciutat Vella,el Barri Gòtic,1031,1647
2015-01-01,Ciutat Vella,la Barceloneta,1032,1806
2015-01-01,Ciutat Vella,la Barceloneta,1033,1094
2015-01-01,Ciutat Vella,la Barceloneta,1034,1030
2015-01-01,Ciutat Vella,la Barceloneta,1035,1328
2015-01-01,Ciutat Vella,la Barceloneta,1036,1183
2015-01-01,Ciutat Vella,la Barceloneta,1037,1464
2015-01-01,Ciutat Vella,la Barceloneta,1038,1492
2015-01-01,Ciutat Vella,la Barceloneta,1039,1299
2015-01-01,Ciutat Vella,la Barceloneta,1040,1101
2015-01-01,Ciutat Vella,la Barceloneta,1041,1467
2015-01-01,Ciutat Vella,la Barceloneta,1042,1773
2015-01-01,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1043,1290
